14.5	65
26.6	65
36.6	65
49.3	65
61.3	65
73.1	65
84.4	65
98.1	65
13.9	66
32.4	66
50.8	66
66.8	66
82.4	66
98.6	66
14.1	67
27.7	67
46.3	67
62.4	67
75.7	67
90.4	67
13.4	68
28.3	68
44.4	68
59	68
72.6	68
85.4	68
13.4	69
32.2	69
47.7	69
63	69
79.5	69
93.7	69
13.4	70
41.9	70
67.3	70
92.5	70
18.3	71
31.2	71
47.2	71
64.5	71
81.9	71
98.2	71
13.8	72
29.9	72
44.7	72
60.8	72
77.1	72
92.9	72
13	73
27	73
39.5	73
54.2	73
68.5	73
80.1	73
94.8	73
12.5	74
26.5	74
38.7	74
51.6	74
63.5	74
78.5	74
91.7	74
12.7	75
34.5	75
61.1	75
88.3	75
17.3	76
37.2	76
59.9	76
80	76
14.6	77
31.2	77
46.4	77
60.2	77
73.9	77
88.4	77
13.8	78
39.1	78
54.2	78
72.7	78
90.3	78
17.9	79
35.7	79
52	79
68.9	79
84.3	79
13.9	80
27.2	80
40.4	80
51.1	80
64.5	80
76.7	80
92.2	80
18.2	81
35.8	81
52.6	81
74.3	81
93.7	81
13.4	82
26.7	82
42.9	82
55.8	82
70.3	82
81.8	82
95.1	82
13.5	83
27.5	83
40.5	83
54.4	83
66.4	83
80.3	83
94.5	83
15	84
29.4	84
43.5	84
59.1	84
73	84
89.6	84
13.1	85
29.8	85
45.4	85
59.7	85
74.7	85
88.3	85
12	86
25.4	86
37.7	86
53.9	86
68.8	86
81.9	86
95.8	86
18	87
34.9	87
52.8	87
68	87
84.8	87
13.5	88
28.7	88
42	88
53.7	88
68.5	88
83.6	88
98.4	88
12.8	89
24.6	89
39.2	89
51.8	89
64.8	89
79	89
92.7	89
13.5	90
33.2	90
47.3	90
64.1	90
82	90
13.8	91
31.6	91
51.8	91
72.1	91
93.1	91
13.6	92
32.3	92
49.6	92
67.4	92
84.2	92
13.7	93
36.4	93
53.8	93
67.5	93
83.6	93
11.7	94
30.9	94
47.2	94
71.5	94
88.4	94
12.9	95
29.5	95
44.6	95
61.2	95
74.7	95
90.6	95
14.4	96
35.6	96
54.3	96
70.6	96
86.7	96
14.2	97
28.8	97
43	97
61.1	97
78	97
93.3	97
13.4	98
27	98
42.2	98
61.3	98
77.3	98
92	98
13.2	99
34.2	99
55.8	99
72.8	99
92.9	99
16.1	100
33.6	100
52.4	100
68.5	100
88.6	100
10.7	101
23.3	101
38.4	101
53.2	101
69.6	101
83.4	101
97.5	101
13.3	102
32.1	102
47.6	102
64.7	102
79.9	102
97.6	102
12.8	103
30.5	103
46.8	103
64.5	103
80.2	103
96.6	103
13.1	104
33.3	104
52.7	104
67.9	104
84.6	104
12.6	105
33.4	105
52	105
70	105
89.7	105
11.9	106
23.8	106
37.6	106
50.5	106
64.7	106
80.1	106
93.8	106
13.9	107
31.3	107
47.4	107
63.1	107
79	107
96.4	107
12.2	108
27.5	108
42.3	108
55.5	108
71.1	108
84.8	108
14.2	109
32.4	109
52.7	109
